#TYPE System.__ComObject#{00063033-0000-0000-c000-000000000046}
"Application","Class","Session","Parent","Actions","Attachments","BillingInformation","Body","Categories","Companies","ConversationIndex","ConversationTopic","CreationTime","EntryID","FormDescription","GetInspector","Importance","LastModificationTime","MAPIOBJECT","MessageClass","Mileage","NoAging","OutlookInternalVersion","OutlookVersion","Saved","Sensitivity","Size","Subject","UnRead","UserProperties","AllDayEvent","BusyStatus","Duration","End","IsOnlineMeeting","IsRecurring","Location","MeetingStatus","NetMeetingAutoStart","NetMeetingOrganizerAlias","NetMeetingServer","NetMeetingType","OptionalAttendees","Organizer","Recipients","RecurrenceState","ReminderMinutesBeforeStart","ReminderOverrideDefault","ReminderPlaySound","ReminderSet","ReminderSoundFile","ReplyTime","RequiredAttendees","Resources","ResponseRequested","ResponseStatus","Start","NetMeetingDocPathName","NetShowURL","Links","ConferenceServerAllowExternal","ConferenceServerPassword","ItemProperties","DownloadState","InternetCodepage","MarkForDownload","IsConflict","MeetingWorkspaceURL","AutoResolvedWinner","Conflicts"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","","","","01CF692A34377D97E140E34A4F809967604B3AF0082D","test evenement","06/05/2014 14:53:20","0000000078D9850CA289FC4097F4E0DCE7663177A4002000","System.__ComObject","System.__ComObject","1","06/05/2014 14:53:45","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1070","test evenement","False","System.__ComObject","False","2","30","06/05/2014 14:00:00","False","False","","0","False","","","0","","Agglo1","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","06/05/2014 13:30:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","","","","01CF6DC94F493E0D4CCA8A7E40C5B9EB08B68C858323","?v?nement de test","12/05/2014 12:02:29","0000000078D9850CA289FC4097F4E0DCE766317764012000","System.__ComObject","System.__ComObject","1","12/05/2014 12:02:45","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1100","?v?nement de test","False","System.__ComObject","False","2","30","12/05/2014 09:00:00","False","False","","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 08:30:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6DFF94734BE437FCC4CD48588590F82A681B70CD","s","12/05/2014 18:31:02","0000000078D9850CA289FC4097F4E0DCE7663177E4022000","System.__ComObject","System.__ComObject","1","12/05/2014 19:02:31","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1712","s","False","System.__ComObject","False","2","30","12/05/2014 19:01:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","Agglo SLo","","True","0","12/05/2014 18:31:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6DFFBF9F972FEB12AFF04A6D98BFC7D7DC200D1A","s","12/05/2014 18:32:21","0000000078D9850CA289FC4097F4E0DCE766317724022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:53:43","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:02:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:32:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6E0196172E262266DADA4933A81C8FB1BB5A9267","s","12/05/2014 18:45:30","0000000078D9850CA289FC4097F4E0DCE766317744022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:45:36","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:16:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:46:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6E01FEFFF1EC8A8F00F642A6B624BCDAB6D046AD","s","12/05/2014 18:48:26","0000000078D9850CA289FC4097F4E0DCE766317764022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:53:43","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:18:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:48:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6E020954782E609F68D94DB7AAAF444C1E8676E3","s","12/05/2014 18:48:44","0000000078D9850CA289FC4097F4E0DCE766317784022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:48:48","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:19:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:49:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6E021769F936EC26BD3F4FBEA2ECC907D253191D","s","12/05/2014 18:49:07","0000000078D9850CA289FC4097F4E0DCE7663177A4022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:49:13","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:19:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:49:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","b","","","01CF6E024B597BC7D76C932A4F86B5958BC6CA243716","s","12/05/2014 18:50:34","0000000078D9850CA289FC4097F4E0DCE7663177C4022000","System.__ComObject","System.__ComObject","1","12/05/2014 18:50:43","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1182","s","False","System.__ComObject","False","2","30","12/05/2014 19:21:00","False","False","L","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","False","","01/01/4501 00:00:00","","","True","0","12/05/2014 18:51:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
"System.__ComObject","26","System.__ComObject","System.__ComObject","System.__ComObject","System.__ComObject","","","","","01CF6E0408C51B6A3705C0D44DD1A667B7FC3DE4FE7F","Let's go to Lo Agglo","12/05/2014 19:02:17","0000000078D9850CA289FC4097F4E0DCE766317704032000","System.__ComObject","System.__ComObject","1","12/05/2014 19:02:17","System.__ComObject","IPM.Appointment","","False","118169","11.0","True","0","1126","Let's go to Lo Agglo","False","System.__ComObject","False","2","180","13/05/2014 07:00:00","False","False","Lo Golo","0","False","","","0","","Agglo SLo","System.__ComObject","0","15","False","False","True","","01/01/4501 00:00:00","","","True","0","13/05/2014 04:00:00","","","System.__ComObject","True","","System.__ComObject","1","28591","0","False","","False","System.__ComObject"
